country,deaths_to_reported_ratio,estimated_reporting,factor_to_real_size,Observed_case_last_week,Predicted_True_case_last_week
Luxembourg,0.013 (0.007 - 0.021),100.0% (63.4% - 100.0%),1 (1 - 1.58),898,1680 (1350 - 2080)
Japan,0.044 (0.027 - 0.067),31.3% (20.3% - 51.3%),3.2 (1.95 - 4.93),1578,5690 (4450 - 7190)
Italy,0.141 (0.137 - 0.144),9.8% (8.7% - 10.9%),10.23 (9.14 - 11.43),32160,391000 (351000 - 436000)
Israel,0.019 (0.013 - 0.026),72.7% (52.1% - 100.0%),1.38 (1 - 1.92),4399,6650 (5500 - 8080)
Ireland,0.086 (0.071 - 0.103),15.9% (12.9% - 19.8%),6.27 (5.05 - 7.74),2189,14400 (12500 - 16600)
Iraq,0.073 (0.041 - 0.116),18.8% (11.8% - 33.5%),5.33 (2.99 - 8.47),372,4080 (3210 - 5160)
Iran,0.09 (0.085 - 0.096),15.2% (13.5% - 17.3%),6.57 (5.79 - 7.43),20335,161000 (144000 - 180000)
Indonesia,0.151 (0.124 - 0.182),9.1% (7.3% - 11.4%),11.02 (8.74 - 13.67),937,15300 (13300 - 17800)
India,0.107 (0.082 - 0.136),12.8% (9.8% - 17.2%),7.79 (5.81 - 10.19),2395,20000 (16800 - 23600)
Greece,0.089 (0.065 - 0.12),15.4% (11.2% - 21.5%),6.49 (4.65 - 8.91),612,3740 (3080 - 4530)
Germany,0.036 (0.034 - 0.038),38.3% (33.7% - 43.5%),2.61 (2.3 - 2.96),39167,93700 (83500 - 105000)
France,0.317 (0.309 - 0.324),4.3% (3.9% - 4.9%),23.02 (20.61 - 25.77),31030,581000 (521000 - 649000)
Egypt,0.159 (0.116 - 0.21),8.6% (6.4% - 12.1%),11.57 (8.23 - 15.58),449,5060 (4060 - 6280)
Ecuador,0.119 (0.1 - 0.139),11.5% (9.5% - 14.1%),8.67 (7.08 - 10.51),1630,13300 (11400 - 15400)
Dominican_Republic,0.127 (0.096 - 0.163),10.8% (8.3% - 14.5%),9.24 (6.9 - 12.1),859,21600 (18300 - 25300)
Denmark,0.146 (0.121 - 0.174),9.4% (7.7% - 11.8%),10.59 (8.48 - 13.02),1876,17700 (15300 - 20400)
Czech_Republic,0.041 (0.031 - 0.053),33.5% (25.3% - 45.5%),2.99 (2.2 - 3.95),1809,4990 (4200 - 5870)
China,0.051 (0.035 - 0.071),27.1% (19.1% - 40.1%),3.68 (2.49 - 5.24),516,2800 (2310 - 3430)
Canada,0.067 (0.058 - 0.077),20.4% (17.1% - 24.5%),4.89 (4.08 - 5.86),8496,41000 (35800 - 47100)
Brazil,0.155 (0.14 - 0.171),8.9% (7.7% - 10.3%),11.26 (9.69 - 13.05),6374,67600 (59900 - 76500)
Belgium,0.239 (0.226 - 0.253),5.7% (5.1% - 6.5%),17.42 (15.4 - 19.66),9297,172000 (153000 - 193000)
Austria,0.028 (0.023 - 0.033),49.4% (40.3% - 61.1%),2.03 (1.64 - 2.48),3475,8950 (7810 - 10300)
Argentina,0.062 (0.041 - 0.089),22.2% (15.2% - 33.7%),4.5 (2.97 - 6.59),706,5020 (3950 - 6310)
Algeria,0.553 (0.48 - 0.623),2.5% (2.1% - 3.0%),40.22 (33.66 - 47.45),891,27400 (23200 - 32200)
